"Año";"Periodo";"Estimación de muertes semanales"
"2015";"Semana 9";"10.058"
"2015";"Semana 10";"9.421"
"2015";"Semana 11";"8.785"
"2015";"Semana 12";"8.379"
"2015";"Semana 13";"8.366"
"2015";"Semana 14";"8.282"
"2015";"Semana 15";"7.894"
"2015";"Semana 16";"7.855"
"2015";"Semana 17";"7.802"
"2015";"Semana 18";"7.365"
"2015";"Semana 19";"7.464"
"2015";"Semana 20";"7.543"
"2015";"Semana 21";"7.234"
"2015";"Semana 22";"7.096"
"2015";"Semana 23";"7.364"
"2015";"Semana 24";"7.152"
"2015";"Semana 25";"6.956"
"2015";"Semana 26";"7.111"
"2015";"Semana 27";"8.146"
"2015";"Semana 28";"8.351"
"2015";"Semana 29";"8.164"
"2015";"Semana 30";"7.798"
"2015";"Semana 31";"7.349"
"2015";"Semana 32";"7.219"
"2015";"Semana 33";"7.075"
